mean_nni,sdnn,sdsd,nni_50,pnni_50,nni_20,pnni_20,rmssd,median_nni,range_nni,cvsd,cvnni,mean_hr,max_hr,min_hr,std_hr,lf,hf,lf_hf_ratio,lfnu,hfnu,total_power,vlf,driver,window_start_unix,window_end_unix,adb,event_count,n_samples,n_beats,ODI-3%,CVHRI,CEI
656.1054945054946,46.36939728944299,20.09537120330544,10,2.202643171806167,81,17.841409691629956,20.095805773634208,648.0,312.0,0.030628924680443925,0.07067369146846045,91.88113540493677,113.63636363636364,71.42857142857143,6.1613310551924245,725.7983388395696,121.34507646175399,5.9812755490605305,85.67597005772721,14.324029942272798,1261.6057691545113,414.46235385318766,1,1614088467.0,1614088767.0,0,0,74973,455,25.064999999999998,17.0,10.899999999999999
1028.151724137931,94.91386231732876,51.46544884346844,84,29.06574394463668,184,63.667820069204154,51.4665208476937,1040.0,440.0,0.050057320957027585,0.09231503492046438,58.892874277248524,78.94736842105263,50.0,5.849869192460184,4907.200139021889,819.5938753149302,5.987355795132425,85.68843451915492,14.311565480845074,7736.207313265741,2009.413298928921,1,1614104667.0,1614104967.0,0,0,74973,290,25.064999999999998,17.0,10.899999999999999
666.6261061946902,59.01805150485687,42.38261026033654,16,3.5476718403547673,33,7.317073170731708,42.38305941122505,660.0,976.0,0.0635784572751895,0.08853246363505071,90.61741338752498,166.66666666666666,44.91017964071856,7.456365180424162,2419.477846755808,1049.2074677782384,2.3060051715788887,69.75201343915569,30.247986560844303,4157.5388226413415,688.8535081072952,1,1614158667.0,1614158967.0,0,0,74968,452,25.064999999999998,17.0,10.899999999999999
789.0343007915567,51.85762341312444,17.248534423403225,3,0.7936507936507936,72,19.047619047619047,17.250105436377414,796.0,272.0,0.021862301067358116,0.06572290122381377,76.38540879809403,94.33962264150944,66.07929515418502,5.249449947352855,599.4701824795675,82.65239059525665,7.252907969899307,87.88305887273573,12.116941127264273,1016.3188110046559,334.1962379298318,1,1614161667.0,1614161967.0,0,0,74968,379,25.064999999999998,17.0,10.899999999999999
710.6857142857143,42.60476387936568,15.50894013644087,1,0.2386634844868735,59,14.081145584725537,15.509178127974756,712.0,212.0,0.02182283647499865,0.05994881144077344,84.72874320441586,95.54140127388536,71.42857142857143,5.078018424546782,449.14354702826347,75.75274606544735,5.929072810644004,85.5680546686728,14.431945331327203,1034.7155972188084,509.8193041250975,1,1614165567.0,1614165867.0,0,0,74969,420,25.064999999999998,17.0,10.899999999999999
647.8120950323975,68.35539690685717,17.222577437514964,9,1.948051948051948,45,9.74025974025974,17.22313454735704,628.0,272.0,0.02658662084179781,0.10551732119703426,93.63069074742963,112.78195488721805,74.6268656716418,9.629983547918135,189.5901159742507,79.15122718066264,2.3952896591421298,70.54743187205227,29.452568127947725,841.7753599536485,573.0340167987351,1,1614168567.0,1614168867.0,0,0,74969,463,25.064999999999998,17.0,10.899999999999999
595.2814371257485,26.38777434211796,6.978806774800402,0,0.0,4,0.8,6.978825116020604,592.0,132.0,0.01172357255035047,0.044328233162331504,100.98496892147105,110.29411764705883,88.75739644970415,4.348548325144237,304.068881478007,14.79861220576828,20.54712139557826,95.35900883630232,4.6409911636976835,568.1375098933961,249.27001620962096,1,1614169467.0,1614169767.0,0,0,74968,501,25.064999999999998,17.0,10.899999999999999
593.9041916167664,18.584046986466905,5.626986404817414,0,0.0,0,0.0,5.627077394171863,596.0,100.0,0.009474722478138183,0.031291321477082266,101.12790917298409,111.94029850746269,94.33962264150944,3.2503595905749325,92.48413478557447,10.116688466761543,9.141739917111394,90.13975897456436,9.860241025435638,236.48673178319018,133.88590853085418,1,1614172467.0,1614172767.0,0,0,74968,501,25.064999999999998,17.0,10.899999999999999
609.9755102040816,18.707942941028087,5.810903846969131,0,0.0,2,0.40899795501022496,5.810926876638887,608.0,128.0,0.009526492095878906,0.030669990234147116,98.45414410167407,105.63380281690141,86.20689655172414,2.9258853726736387,84.52954517485574,14.844505828471895,5.6943320412005445,85.06198984685166,14.938010153148342,249.3536612911285,149.97961028780088,1,1614180867.0,1614181167.0,0,0,74968,490,25.064999999999998,17.0,10.899999999999999
652.1575492341357,49.3164827890466,15.245684694888038,7,1.5350877192982457,49,10.74561403508772,15.247663036353323,644.0,224.0,0.023380336629177243,0.07562050435046201,92.5100288632389,104.8951048951049,75.37688442211055,6.744378896379605,824.8386062913657,110.69267115263351,7.451609918727143,88.16793475306768,11.83206524693233,1614.22135519394,678.6900777499409,1,1614194520.0,1614194820.0,1,1,74969,457,25.064999999999998,17.0,10.899999999999999
701.0328638497652,39.87254812395007,12.563207665688372,1,0.23529411764705882,34,8.0,12.56400086147159,704.0,208.0,0.017922128204483315,0.05687686010180394,85.87647574410849,102.04081632653062,75.37688442211055,5.093403988223579,316.8525786785125,54.49487640326194,5.814355396162462,85.32509765247708,14.67490234752292,756.460205871683,385.1127507899086,1,1614194697.0,1614194997.0,1,1,74969,426,25.064999999999998,17.0,10.899999999999999
905.0424242424242,86.78508910033922,41.998127153246074,54,16.41337386018237,179,54.40729483282675,41.9986973310792,908.0,400.0,0.04640522499951831,0.09589063095355296,66.92971830845505,84.7457627118644,54.151624548736464,6.672997262570722,3927.562434651409,727.7653250081864,5.3967430154867975,84.36704432898186,15.63295567101814,6902.979380924811,2247.6516212652155,1,1614202269.0,1614202569.0,1,1,74968,330,25.064999999999998,17.0,10.899999999999999
855.4451038575668,131.9521381755946,61.447082159331956,28,8.333333333333334,95,28.273809523809526,61.44708331254664,840.0,1388.0,0.07183053948810454,0.15424968543342657,71.5129180687737,114.50381679389314,31.380753138075313,9.466354907964226,8991.783615810422,574.6290516398751,15.647979492421571,93.9932650658585,6.006734934141504,21528.2294389845,11961.816771534204,1,1614205767.0,1614206067.0,0,0,74969,337,25.064999999999998,17.0,10.899999999999999
829.6378830083565,30.834072280237695,20.332420462622142,3,0.8379888268156425,114,31.843575418994412,20.332432742518794,828.0,152.0,0.024507599229667765,0.03716569953198137,72.42027873559371,78.94736842105263,65.78947368421052,2.685647582209285,313.85590773513985,313.22560938418917,1.0020122823040871,50.05025649247694,49.94974350752307,775.995487316993,148.91397019766404,1,1614232467.0,1614232767.0,0,0,74982,359,25.064999999999998,17.0,10.899999999999999
875.5190615835777,36.86418340259708,32.806740382623694,46,13.529411764705882,188,55.294117647058826,32.80674249207282,872.0,184.0,0.03747119158403505,0.04210551776670598,68.6502781660478,75.37688442211055,61.224489795918366,2.845869527688822,343.9206467767949,766.6584488838745,0.4485969564119269,30.967685968571278,69.03231403142873,1186.4718043756045,75.89270871493508,1,1614234267.0,1614234567.0,0,0,74982,341,25.064999999999998,17.0,10.899999999999999
824.2314049586777,75.6116232767157,37.98810819953839,46,12.707182320441989,173,47.790055248618785,37.99389308299703,832.0,596.0,0.04609614830789156,0.09173591642083384,73.4929881095862,120.96774193548387,54.94505494505494,7.769190136630545,1360.7853360522613,792.8791271517604,1.7162582409510212,63.18464920147364,36.81535079852637,2597.802631690922,444.1381684869008,1,1614243867.0,1614244167.0,0,0,74982,363,25.064999999999998,17.0,10.899999999999999
762.4260204081633,61.07179655122704,28.69159560296349,12,3.0690537084398977,86,21.994884910485933,28.692478317852927,764.0,476.0,0.03763313101839372,0.08010193109428818,79.25230597135204,141.50943396226415,66.66666666666667,7.103411689229657,402.20431523840057,246.468645572164,1.6318680792224276,62.00417460530754,37.99582539469247,1707.52774932554,1058.8547885149756,1,1614253467.0,1614253767.0,0,0,74982,392,25.064999999999998,17.0,10.899999999999999
773.0103092783505,69.71855489056074,29.060125417879046,20,5.167958656330749,112,28.940568475452196,29.06021548493761,784.0,480.0,0.03759356781679534,0.09019097682623019,78.38083410295637,135.13513513513513,64.93506493506493,8.697514380291345,834.0108474936018,323.5910769529372,2.5773604616881927,72.04642890450883,27.953571095491164,2127.037883637916,969.4359591913769,1,1614300267.0,1614300567.0,0,0,74961,388,25.064999999999998,17.0,10.899999999999999
